,INVOICE CODE,ACCOUNT URL,AMOUNT,COMMISSIONS (USD)
30,FDEUR179951,tiemponord.freshdesk.com,142.5,35.62
31,FSEUR24982,prodottigianni.freshservice.com,212.04,53.01
32,FD1462211,cioccasupport.freshdesk.com,99.0,24.75
33,271205,giordanoshop,482.22,120.55
34,FDEUR180052,atipicishop.freshdesk.com,108.3,27.07
35,271415,soisy1,492.48,123.12
36,FDEUR179688,newaccount1638371738200.freshdesk.com,0.0,0.0
37,FD1464392,hoplix.freshdesk.com,125.0,31.25
38,FCL323307,devourtours.freshcaller.com,21.66,5.41
39,FCL323304,persechini.freshcaller.com,0.0,0.0
40,FDEUR180245,ietimpianti.freshdesk.com,86.64,21.66
41,FDEUR180293,togetherprice.freshdesk.com,148.2,37.05
42,FDEUR180286,Not Available,43.32,10.83
43,FSEUR25050,Not Available,171.0,42.75
44,FDEUR180431,vapeitalia.freshdesk.com,148.2,37.05
45,FDEUR180472,smartmediatools.freshdesk.com,7.5696,1.89
46,FDEUR180489,overstep.freshdesk.com,21.66,5.41
47,FD1466786,fido.freshdesk.com,16.77,4.19
48,FW19632,Not Available,339.72,84.93
49,FDEUR180551,Not Available,201.78,50.44
50,FD1467471,3bee.freshdesk.com,0.0,0.0
51,FDEUR180759,Not Available,307.8,76.95
52,FRELEASE116406,Not Available,12.0,3.0
53,FDEUR180963,maurysonline.freshdesk.com,199.5,49.87
54,FDEUR180972,giordanoshop.freshdesk.com,173.28,43.32
55,FD1469042,Not Available,38.0,9.5
56,FDEUR180991,aesse.freshdesk.com,72.96,18.24
57,FDEUR181063,tiemmeelettronica.freshdesk.com,47.88,11.97
58,FD1469623,clientsasuranceameli.freshdesk.com,25.0,6.25
59,FW20053,Not Available,163.02,40.75
60,FD1470244,Not Available,236.0,59.0
61,273459,iconacasa,76.0,19.0
62,FDEUR181353,Not Available,51.3,12.82
63,FSEUR25377,trere.freshservice.com,2667.6,666.9
64,FDEUR181512,futurenergy.freshdesk.com,256.5,64.12
65,FD1472802,3bee.freshdesk.com,1308.54,327.13
66,FDEUR181480,Not Available,129.96,32.49
67,FDEUR181437,Not Available,129.96,32.49
68,FD1473921,conteit.freshdesk.com,931.5,232.87
69,FDEUR181604,businessboxitaliahelp.freshdesk.com,21.66,5.41
70,FDEUR181628,Not Available,393.3,98.32
71,FRELEASE118532,Not Available,4.52,1.13
72,FDEUR181647,smartmediatools.freshdesk.com,259.92,64.98
73,FD1474580,persechini.freshdesk.com,260.0,65.0
74,FDEUR181730,newaccount1638371738200.freshdesk.com,82.08,20.52
75,FDEUR181873,housers.freshdesk.com,342.0,85.5
76,FD1475403,testbusters.freshdesk.com,114.0,28.5
77,FD1475338,fido.freshdesk.com,54.7,13.67
78,FT-19641,Not Available,70.68,17.67
79,FSEUR25545,truckitalia.freshservice.com,59.28,14.82
80,FW21049,Not Available,53.58,13.39
81,FD1477292,Not Available,3.02,0.75
82,FD1478243,semiperdo.freshdesk.com,60.0,15.0
83,FD1477951,Not Available,118.0,29.5
84,FDEUR182277,soisy.freshdesk.com,122.5728,30.64
85,FD1478051,newaccount1635330428632.freshdesk.com,252.0,63.0
86,FD1479141,igrbroker.freshdesk.com,45.0,11.25
87,FDEUR182377,zinetti.freshdesk.com,114.0,28.5
88,FDEUR182390,prccportal.freshdesk.com,198.36,49.59
89,FDEUR182509,2ksystems.freshdesk.com,2735.9772,683.99
90,275196,comifers,44.46,11.11
91,FDEUR182494,newaccount1608390207880.freshdesk.com,108.3,27.07
92,FD1479794,Not Available,490.0,122.5
93,FW21505,adrabamarketing.myfreshworks.com,53.58,13.39
94,FDEUR182587,tun2u.freshdesk.com,132.24,33.06
95,275326,plurima,57.0,14.25
96,275359,Not Available,116.0,29.0
97,FDEUR182520,newaccount1614544412427.freshdesk.com,153.9,38.47
98,FSEUR23692,repowerhelpdesk.freshservice.com,12768.171,3192.04
99,FSEUR24967,dedit.freshservice.com,171.0,42.75
100,FDEUR181483,https://firstpointsrl.freshdesk.com/,2052.0,513.0
101,FDEUR181272,newaccount1641068279901.freshdesk.com,41.04,10.26
0,FDEUR164691,covermanagercom.freshdesk.com,686.8272,171.7
1,FDEUR170951,istitutoelveticoifeitalia.freshdesk.com,205.2,51.3
2,FSEUR21964,mermec.freshservice.com,121.2048,30.3
3,FSEUR22703,lifestyledesign.freshservice.com,856.1514,214.03
4,FSEUR23141,humanitas.freshservice.com,332.8572,83.21
5,FDEUR174126,voiptech.freshdesk.com,129.96,32.49
6,FDEUR173079,odigeo.freshdesk.com,10568.1648,2642.04
7,FDEUR171482,odigeo.freshdesk.com,2021.847,505.46
8,FDEUR172070,parametricdesign.freshdesk.com,4186.08,1046.52
9,FDEUR173744,sanarti.freshdesk.com,8475.2502,2118.81
10,FDEUR173876,covermanagercom.freshdesk.com,34.6788,8.66
11,FDEUR172650,newaccount1603880328286.freshdesk.com,8645.76,2161.44
12,FDEUR171727,Not Available,665.2926,166.32
13,FSEUR23547,autotorino.freshservice.com,198.36,49.59
14,FDEUR175776,prccportal.freshdesk.com,198.36,49.59
15,FDEUR176161,archivisthd.freshdesk.com,353.4,88.35
16,FDEUR176192,risattiservice.freshdesk.com,528.96,132.24
17,FRS180961,criticalcasecrm.freshsales.io,254.0718,63.51
18,FDEUR176258,Not Available,129.96,32.49
19,FD1436510,Not Available,32.35,8.08
20,FDEUR176298,afeasupport.freshdesk.com,1.2312,0.3
21,FD1437021,dteglobal.freshdesk.com,206.0,51.5
22,265198,dojo-org,88.92,22.23
23,FDEUR176483,sammontana.freshdesk.com,21.66,5.41
24,FD1437883,icstechnologies.freshdesk.com,19.0,4.75
25,FDEUR176520,afeasupport.freshdesk.com,547.2,136.8
26,FDEUR176552,imasimpiantisrl.freshdesk.com,74.1,18.52
27,FDEUR176624,mediacom.freshdesk.com,198.36,49.59
28,FD1439198,servizioclientikillin.freshdesk.com,25.0,6.25
29,FSEUR24092,trere.freshservice.com,0.0,0.0
30,FDEUR176727,tiemponord.freshdesk.com,142.5,35.62
31,FSEUR24096,debonamotors.freshservice.com,0.0,0.0
32,FSEUR24214,prodottigianni.freshservice.com,212.04,53.01
33,FSEUR24117,diasorin.freshservice.com,0.0,0.0
34,FSEUR24116,enterprise.freshservice.com,0.0,0.0
35,FSEUR23928,truckitalia.freshservice.com,0.0,0.0
36,FSEUR24042,mirabilandia.freshservice.com,0.0,0.0
37,FD1439804,cioccasupport.freshdesk.com,99.0,24.75
38,265855,giordanoshop,482.22,120.55
39,FD1440423,3bee.freshdesk.com,1520.38,380.09
40,FDEUR176822,atipicishop.freshdesk.com,108.3,27.07
41,266080,soisy1,492.48,123.12
42,FD1442239,hoplix.freshdesk.com,125.0,31.25
43,FCL312397,devourtours.freshcaller.com,21.66,5.41
44,FCL312390,persechini.freshcaller.com,0.0,0.0
45,FDEUR177101,ietimpianti.freshdesk.com,86.64,21.66
46,FSEUR24326,Not Available,171.0,42.75
47,261201,Not Available,1600.56,400.14
48,FDEUR173651,https://damastpsrl.freshdesk.com/,1026.0,256.5
49,FDEUR174881,recrowd.freshdesk.com,2905.632,1016.97
50,FSEUR23548,newcleo.freshservice.com,1641.6,410.4
51,FDEUR177171,togetherprice.freshdesk.com,148.2,37.05
52,FDEUR177162,Not Available,43.32,10.83
53,FDEUR177290,vapeitalia.freshdesk.com,148.2,37.05
54,FDEUR177323,overstep.freshdesk.com,21.66,5.41
55,FDEUR177363,Not Available,201.78,50.44
56,FRS181920,v22media.freshsales.io,122.24,30.56
57,FDEUR177532,Not Available,307.8,76.95
58,FRELEASE107623,Not Available,12.0,3.0
59,FDEUR177770,maurysonline.freshdesk.com,199.5,49.87
60,FDEUR177780,giordanoshop.freshdesk.com,173.28,43.32
61,FD1446740,Not Available,38.0,9.5
62,FDEUR177817,aesse.freshdesk.com,72.96,18.24
63,FDEUR177913,tiemmeelettronica.freshdesk.com,47.88,11.97
64,FD1447495,clientsasuranceameli.freshdesk.com,25.0,6.25
65,FD1448244,Not Available,236.0,59.0
66,268144,iconacasa,76.0,19.0
67,FDEUR178119,Not Available,51.3,12.82
68,FS153077,katy.freshservice.com,3324.0,831.0
69,FDEUR178276,futurenergy.freshdesk.com,256.5,64.12
70,FDEUR178237,Not Available,129.96,32.49
71,FDEUR178190,Not Available,129.96,32.49
72,FD1451538,conteit.freshdesk.com,931.5,232.87
73,FDEUR178377,businessboxitaliahelp.freshdesk.com,21.66,5.41
74,FDEUR178407,Not Available,393.3,98.32
75,FDEUR178435,soisy.freshdesk.com,81.6924,20.42
76,FDEUR178434,smartmediatools.freshdesk.com,238.26,59.56
77,FD1452341,persechini.freshdesk.com,260.0,65.0
78,FDEUR178690,housers.freshdesk.com,342.0,85.5
79,FD1453270,testbusters.freshdesk.com,114.0,28.5
80,FT-18445,Not Available,70.68,17.67
81,FSEUR24722,truckitalia.freshservice.com,59.2686,14.81
82,FDEUR178809,yousystemhelp.freshdesk.com,64.98,16.24
83,FD1455362,semiperdo.freshdesk.com,60.0,15.0
84,FD1455208,newaccount1635330428632.freshdesk.com,252.0,63.0
85,FDEUR179010,zinetti.freshdesk.com,114.0,28.5
86,FDEUR179020,prccportal.freshdesk.com,198.36,49.59
87,FDEUR179100,newaccount1608299355951.freshdesk.com,615.6,153.9
88,269889,comifers,44.46,11.11
89,FDEUR179143,newaccount1608390207880.freshdesk.com,108.3,27.07
90,FD1456791,Not Available,455.0,113.75
91,FDEUR179259,tun2u.freshdesk.com,132.24,33.06
92,270069,Not Available,116.0,29.0
93,FDEUR179169,newaccount1614544412427.freshdesk.com,153.9,38.47
94,FDEUR179324,cmedico.freshdesk.com,216.6,54.15
95,FW14082,ifeitalia.myfreshworks.com,2071.1634,517.79
96,FW17239,avveraspa.myfreshworks.com,0.0,0.0
97,FW15641,Not Available,0.0,0.0
98,FW17305,Not Available,163.02,40.75
99,FW15568,proximanetwork.myfreshworks.com,0.0,0.0
100,FW15528,okkocomunicazione-org.myfreshworks.com,41.04,10.26
101,FW18134,Not Available,53.58,13.39
102,FW18388,adrabamarketing.myfreshworks.com,53.58,13.39
103,FW14137,recrowd.myfreshworks.com,2027.376,709.58
104,FD1455102,Not Available,118.0,29.5
105,FW15004,Not Available,41.7582,10.43
106,FW16835,Not Available,453.72,113.43
107,FDEUR177103,professioni.freshdesk.com,820.8,205.2
108,FDEUR178548,newaccount1638371738200.freshdesk.com,82.08,20.52
0,FDEUR175780,bancaetica.freshdesk.com,39070.08,9767.52
1,FSEUR24292,atlantia.freshservice.com,24509.6922,12254.84
2,FDEUR177677,scppool.freshdesk.com,729.9876,182.49
3,FDEUR178570,dufercoenergia.freshdesk.com,49926.0492,12481.51
4,FDEUR179500,baslab.freshdesk.com,3753.792,938.44
5,271268,vincitu,511.3698,127.84
6,FDEUR179992,vincitu.freshdesk.com,793.44,198.36
7,FDEUR180536,newaccount1603880328286.freshdesk.com,1719.5076,429.87
8,FDEUR180639,covermanagercom.freshdesk.com,7.3302,1.83
9,FDEUR180727,covermanagercom.freshdesk.com,7.1934,1.79
10,FDEUR180864,arsinformsupporto.freshdesk.com,1436.4,359.1
11,FSEUR25205,apparound.freshservice.com,5515.776,1378.94
12,FDEUR182350,ferreromangimihelp.freshdesk.com,1641.6,410.4
13,FDEUR182490,waynenocitaly.freshdesk.com,1723.68,430.92
14,FDEUR182534,covermanagercom.freshdesk.com,987.5136,246.87
15,FDEUR182757,archivisthd.freshdesk.com,353.4,88.35
16,FDEUR182775,risattiservice.freshdesk.com,528.96,132.24
17,FRS185813,criticalcasecrm.freshsales.io,254.0718,63.51
18,FDEUR182843,Not Available,129.96,32.49
19,FD1482386,dteglobal.freshdesk.com,206.0,51.5
20,FSEUR25727,autotorino.freshservice.com,16142.4,4035.6
21,275803,dojo-org,88.92,22.23
22,FDEUR182978,webpetit.freshdesk.com,410.4,102.6
23,FT-19991,Not Available,2123.2956,530.82
24,FW21921,okkocomunicazione-org.myfreshworks.com,41.04,10.26
25,FDEUR183074,sammontana.freshdesk.com,21.66,5.41
26,FD1483255,icstechnologies.freshdesk.com,19.0,4.75
27,FRS185946,criticalcasecrm.freshsales.io,79.23,19.8
28,FW22074,Not Available,83.5506,20.88
29,FDEUR183141,afeasupport.freshdesk.com,547.2,136.8
30,FDEUR183184,imasimpiantisrl.freshdesk.com,74.1,18.52
31,FDEUR183281,mediacom.freshdesk.com,198.36,49.59
32,FD1484888,servizioclientikillin.freshdesk.com,25.0,6.25
33,FDEUR183275,melogranocs.freshdesk.com,410.4,102.6
34,FDEUR183356,tiemponord.freshdesk.com,142.5,35.62
35,FSEUR25828,prodottigianni.freshservice.com,212.04,53.01
36,FD1485488,cioccasupport.freshdesk.com,99.0,24.75
37,276461,giordanoshop,482.22,120.55
38,FDEUR183510,plurima.freshdesk.com,279.3,69.82
39,FD1486245,cellidigitalhelpdesk.freshdesk.com,59.0,14.75
40,FDEUR183434,atipicishop.freshdesk.com,108.3,27.07
41,276663,soisy1,492.48,123.12
42,FD1487738,hoplix.freshdesk.com,125.0,31.25
43,FCL335671,devourtours.freshcaller.com,21.66,5.41
44,FCL335656,persechini.freshcaller.com,0.0,0.0
45,FDEUR183740,ietimpianti.freshdesk.com,86.64,21.66
46,FD1487927,fido.freshdesk.com,2.97,0.74
47,FSEUR25918,Not Available,171.0,42.75
48,FDEUR183813,togetherprice.freshdesk.com,148.2,37.05
49,FDEUR183800,Not Available,43.32,10.83
50,FDEUR184077,markaservice.freshdesk.com,43.32,10.83
51,FDEUR183938,vapeitalia.freshdesk.com,148.2,37.05
52,FDEUR183994,overstep.freshdesk.com,21.66,5.41
53,FW23023,Not Available,339.72,84.93
54,FDEUR184045,Not Available,201.78,50.44
55,FDEUR184168,Not Available,307.8,76.95
56,FRELEASE125875,Not Available,18.0,4.5
57,FSEUR25347,repowerhelpdesk.freshservice.com,14389.9122,3597.47
58,FDEUR184235,businesscec.freshdesk.com,21.66,5.41
59,FDEUR182433,unitelmasapienza.freshdesk.com,4692.24,1173.06
60,FSEUR25816,dedit.freshservice.com,171.0,42.75
61,272223,gruppopoli-help.freshchat.com,2134.08,533.52
62,FSEUR25322,clai.freshservice.com,1846.8,461.7
63,FDEUR181579,nisgroup.freshdesk.com,820.8,205.2
64,FDEUR181921,comunedimonopoli-help.freshdesk.com,1026.0,256.5
65,FDEUR184411,maurysonline.freshdesk.com,159.6,39.9
66,FDEUR184426,giordanoshop.freshdesk.com,173.28,43.32
67,FD1492378,fido.freshdesk.com,5580.0,1395.0
68,FD1492395,Not Available,38.0,9.5
69,FDEUR184455,aesse.freshdesk.com,72.96,18.24
70,FDEUR184564,tiemmeelettronica.freshdesk.com,47.88,11.97
71,FD1493183,clientsasuranceameli.freshdesk.com,25.0,6.25
72,FD1493012,kinetrika.freshdesk.com,1080.0,270.0
73,FW23487,Not Available,163.02,40.75
74,FDEUR184592,grilca.freshdesk.com,478.8,119.7
75,FD1493960,Not Available,236.0,59.0
76,FDEUR184780,newaccount1641068279901.freshdesk.com,41.04,10.26
77,278749,iconacasa,76.0,19.0
78,FDEUR184828,xconik.freshdesk.com,64.98,16.24
79,FDEUR184856,infosolutionsmg.freshdesk.com,21.66,5.41
80,FDEUR184825,Not Available,51.3,12.82
81,FDEUR184892,safefleet.freshdesk.com,85.5,21.37
82,FDEUR184927,futurenergy.freshdesk.com,256.5,64.12
83,FDEUR184905,Not Available,129.96,32.49
84,FDEUR184881,Not Available,129.96,32.49
85,FD1497208,conteit.freshdesk.com,931.5,232.87
86,FDEUR185023,businessboxitaliahelp.freshdesk.com,21.66,5.41
87,FSEUR26196,ndw.freshservice.com,15.6978,3.92
88,FDEUR185059,Not Available,393.3,98.32
89,FDEUR185040,netribe.freshdesk.com,238.7844,59.69
90,FDEUR185104,smartmediatools.freshdesk.com,259.92,64.98
91,FD1497469,Not Available,2158.24,539.56
92,FD1498076,persechini.freshdesk.com,195.0,48.75
93,FDEUR185244,newaccount1638371738200.freshdesk.com,82.08,20.52
94,FDEUR185412,housers.freshdesk.com,342.0,85.5
95,FD1499129,testbusters.freshdesk.com,114.0,28.5
96,FD1499056,senzafilisenzaconfini.freshdesk.com,540.0,135.0
97,FSEUR26328,tarchinigroup.freshservice.com,1641.6,410.4
98,FSEUR26330,truckitalia.freshservice.com,59.28,14.82
99,FW24615,Not Available,53.58,13.39
100,FD1501648,semiperdo.freshdesk.com,60.0,15.0
101,FD1501429,Not Available,118.0,29.5
102,FD1501507,newaccount1635330428632.freshdesk.com,252.0,63.0
103,FD1503015,igrbroker.freshdesk.com,45.0,11.25
104,FDEUR185921,zinetti.freshdesk.com,114.0,28.5
105,FDEUR185953,prccportal.freshdesk.com,198.36,49.59
106,FDEUR186042,tun2u.freshdesk.com,132.24,33.06
107,FDEUR185980,cgmpharmaone.freshdesk.com,164.16,41.04
108,FDEUR186050,spea-hq.freshdesk.com,473.271,118.31
109,280324,plurima,57.0,14.25
110,280414,comifers,44.46,11.11
111,FDEUR185985,newaccount1608390207880.freshdesk.com,108.3,27.07
112,FD1502199,Not Available,490.0,122.5
113,FW24888,adrabamarketing.myfreshworks.com,53.58,13.39
0,FDEUR161083,fontanotspa.freshdesk.com,4737.96,1184.49
1,FSEUR19045,healthwaregroup.freshservice.com,4280.4,1070.1
2,FDEUR144429,voiptech.freshdesk.com,140.22,35.05
3,FDEUR154425,voiptech.freshdesk.com,140.22,35.05
4,FDEUR164177,voiptech.freshdesk.com,140.22,35.05
5,FD1373532,bluenext.freshdesk.com,182.46,45.61
6,FSEUR21115,forfettapp.freshservice.com,7970.4,1992.6
7,FDEUR165628,soluzioniauto.freshdesk.com,1107.0,276.75
8,248432,hegoone-org,1712.16,428.04
9,FDEUR166540,rstore.freshdesk.com,1269.36,317.34
10,FSEUR20873,planetsmartcity.freshservice.com,420.9183,147.32
11,FDEUR162781,Not Available,9763.74,4881.87
12,FSEUR21269,sanlorenzospaservicedesk.freshservice.com,980.31,245.07
13,FDEUR167842,volocomhelp.freshdesk.com,274.2408,68.56
14,FDEUR169113,sanarti.freshdesk.com,5889.24,1472.31
15,FDEUR169505,archivisthd.freshdesk.com,381.3,95.32
16,FDEUR169527,risattiservice.freshdesk.com,570.72,142.68
17,FRS175522,criticalcasecrm.freshsales.io,274.1301,68.53
18,FDEUR169596,Not Available,140.22,35.05
19,FDEUR169740,sammontana.freshdesk.com,23.37,5.84
20,FD1391953,icstechnologies.freshdesk.com,19.0,4.75
21,FSEUR21693,lyrecoservicedesk.freshservice.com,4118.04,1029.51
22,254350,dojo-org,95.94,23.98
23,FDEUR169786,afeasupport.freshdesk.com,570.72,142.68
24,FDEUR169830,imasimpiantisrl.freshdesk.com,79.95,19.98
25,FD1393396,servizioclientikillin.freshdesk.com,25.0,6.25
26,FSEUR21791,prodottigianni.freshservice.com,228.78,57.19
27,FD1394199,cioccasupport.freshdesk.com,99.0,24.75
28,255076,giordanoshop,263.22,65.8
29,FDEUR170222,ostisistemi.freshdesk.com,7203.4704,1800.86
30,FDEUR170166,atipicishop.freshdesk.com,116.85,29.21
31,FW10641,Not Available,73.5786,18.39
32,255294,soisy1,531.36,132.84
33,FCL281202,devourtours.freshcaller.com,23.37,5.84
34,FDEUR171203,tiemmeelettronica.freshdesk.com,51.66,12.91
35,FD1396521,hoplix.freshdesk.com,125.0,31.25
36,FDEUR170443,togetherprice.freshdesk.com,159.9,39.97
37,FD1401810,clientsasuranceameli.freshdesk.com,25.0,6.25
38,FDEUR170530,vapeitalia.freshdesk.com,159.9,39.97
39,FCL281197,persechini.freshcaller.com,0.0,0.0
40,FRELEASE84985,Not Available,12.0,3.0
41,FDEUR171088,maurysonline.freshdesk.com,215.25,53.81
42,FDEUR170410,ietimpianti.freshdesk.com,93.48,23.37
43,FDEUR171098,giordanoshop.freshdesk.com,140.22,35.05
44,FDEUR171193,editwebticket.freshdesk.com,221.4,55.35
45,FDEUR170597,overstep.freshdesk.com,23.37,5.84
46,FDEUR170438,Not Available,46.74,11.68
47,FD1397288,medicilio.freshdesk.com,99.0,24.75
48,FD1401057,Not Available,38.0,9.5
49,FSEUR21873,Not Available,184.5,46.12
50,FW10198,okkocomunicazione-org.myfreshworks.com,44.28,11.07
51,FDEUR170546,newaccount1630391823130.freshdesk.com,428.04,107.01
52,257375,iconacasa,76.0,19.0
53,FW11477,ifeitalia.myfreshworks.com,0.0,0.0
54,FT-15321,Not Available,76.26,19.06
55,FSEUR22350,speknosrl.freshservice.com,0.0,0.0
56,FSEUR22352,truckitalia.freshservice.com,63.96,15.99
57,258526,giordanoshop,24.9075,6.22
58,259140,comifers,47.97,11.99
59,259272,plurima,76.0,19.0
60,259312,Not Available,116.0,29.0
61,FDEUR170866,Not Available,110.7,27.67
62,FDEUR171032,Not Available,1402.2,350.55
63,FW11822,Not Available,57.81,14.45
64,FW11571,ventiacapital.myfreshworks.com,2072.304,518.07
65,FDEUR171974,housers.freshdesk.com,369.0,92.25
66,FDEUR172742,tun2u.freshdesk.com,142.68,35.67
